"target_word_unique","avgRT_related","avgRT_unrelated","avgZ_RT_related","avgZ_RT_unrelated","seRT_related","seRT_unrelated","seZ_RT_related","seZ_RT_unrelated","target_sample_keep_related","target_sample_keep_unrelated","avgRT_prime","avgZ_prime"
"América",534.779809532896,576.772713118256,-0.673728429399494,-0.311390191935937,18.0779808476687,18.6717876677525,0.0579510305875629,0.0625624739426243,63,122,41.9929035853594,0.362338237463557
"Atlántico",550.271270830905,645.228515129249,-0.507008207399376,-0.0945839432249567,14.5961969335201,13.9256452099926,0.0524933597855528,0.0497873901000248,96,99,94.957244298344,0.412424264174419
"Batman",518.040206172861,685.241351042935,-0.523208607756545,0.165036697580703,16.0415734320653,21.4550160001981,0.0635201797202395,0.0744454099446856,97,94,167.201144870073,0.688245305337248
"Boston",615.718010863995,677.539262468071,-0.35402972832503,-0.0308949505680101,24.2304448330551,24.6573585578492,0.0730887761221698,0.0825138612983583,92,80,61.8212516040758,0.32313477775702
"Julieta",523.45146999575,619.389652198301,-0.582929904726363,-0.300106911653674,13.4288384321608,22.1199905575146,0.0498333958384894,0.0730626976990806,100,69,95.9381822025507,0.282822993072689
"Roma",518.536866691088,591.318011906802,-0.658067759627462,-0.506182336885696,17.1907207660838,20.7909942112476,0.0671203553658936,0.0680509013346468,75,84,72.7811452157148,0.151885422741766
"VIH",625.295671051967,755.27368103104,-0.266868005573255,0.455920217549497,24.536677064184,22.7937988375402,0.0766476268131005,0.0686040796458521,76,116,129.978009979073,0.722788223122752
"Venus",514.396909088848,603.155265615791,-0.711429208249132,-0.151737906410501,10.9961619854833,22.0005653874519,0.0352346675107598,0.0809067213949756,143,64,88.7583565269425,0.559691301838631
"Watson",653.437536606919,817.632000013715,-0.237598943570069,0.361244041382468,22.7568109802551,37.4034537407414,0.0879146303461256,0.0976471506605941,82,56,164.194463406797,0.598842984952537
"abadejo",814.898685720613,906.118799999604,0.561688648007633,0.697551268600977,51.6227743253326,46.1702898796567,0.168324111100668,0.160172195809983,35,25,91.2201142789908,0.135862620593344
"abandonar",597.65427048858,647.581448277631,-0.412696860951686,-0.209008407727987,17.9427505388765,22.5729076500724,0.052448879564877,0.0704928099559161,122,87,49.9271777890516,0.203688453223698
"abdomen",563.177857146562,641.467687490086,-0.366718209235235,-0.18710874318074,10.2094597597985,22.5696764498599,0.045984795965049,0.0558726814143876,98,96,78.2898303435234,0.179609466054494
"abducir",821.331673060178,795.199359388396,0.447151806171317,0.405385592801638,31.3819499110773,30.8770101856684,0.117625871468178,0.097293445725449,52,64,-26.1323136717817,-0.0417662133696791
"abrazo",500.450294650179,565.616897434789,-0.702968300229569,-0.586697647446149,13.958004819936,16.0615577216306,0.0463159305384178,0.0510811020065873,112,117,65.16660278461,0.11627065278342
"absorber",616.732007447789,621.802993816912,-0.110712585826218,-0.237961345260323,14.5797458582615,14.546835828194,0.0576745133178123,0.0474024530584239,134,162,5.07098636912303,-0.127248759434105
"absurdo",568.92438679507,582.632191906569,-0.51762389618248,-0.36322655688922,19.7940108470893,17.9497245575049,0.0485227867593624,0.0627449887964101,106,99,13.7078051114991,0.15439733929326
