"target_word_unique","avgRT_related","avgRT_unrelated","avgZ_RT_related","avgZ_RT_unrelated","seRT_related","seRT_unrelated","seZ_RT_related","seZ_RT_unrelated","target_sample_keep_related","target_sample_keep_unrelated","avgRT_prime","avgZ_prime"
"hiv",886.992055557328,1002.91539999504,0.710572985116655,1.12817849823554,64.3095068060129,72.237495241333,0.211665457005843,0.282759891640921,18,10,115.923344437711,0.41760551311889
"一刻",603.599021730485,688.672644455788,-0.270687252583166,0.126396786787358,23.4348671933878,35.1180974692256,0.105151158588481,0.138147148740381,46,45,85.0736227253035,0.397084039370524
"一百",606.088533376846,668.662000011109,-0.337029624132326,-0.0632295893135656,23.9155346726319,28.8891054304187,0.0851545609476388,0.116893714885777,45,52,62.5734666342631,0.27380003481876
"一直",570.380814807972,655.581369564501,-0.429080959447773,-0.105661705750277,22.2949393101473,38.9663898437621,0.0819989397876264,0.121175373449175,54,46,85.200554756529,0.323419253697496
"一级棒",610.961936180856,845.087333334057,-0.239496346829976,0.611805087909596,23.7414985105687,43.609584719574,0.110243726873229,0.130700015281118,47,42,234.125397153201,0.851301434739572
"一餐",660.148512190975,809.816590906624,-0.0788872794718562,0.390727591110012,32.2085481717432,46.6355337876248,0.114672062092033,0.140207927566002,41,44,149.668078715649,0.469614870581868
"丁",780.5480263102,806.642923091488,0.31931242912851,0.60767189264154,39.0375664955882,43.8084602734248,0.136328308248266,0.148069487469168,38,26,26.0948967812878,0.28835946351303
"七月",601.876603766541,659.448340000422,-0.296507475053,-0.126057358414537,17.8263336668903,33.5900651413213,0.0553100671438415,0.111155574656072,53,50,57.5717362338818,0.170450116638463
"三",666.217120010002,708.398639993546,-0.122797055688888,0.0615251454441191,34.9521101078448,27.1667989019499,0.104319964811132,0.0820968844949856,50,75,42.1815199835446,0.184322201133007
"三角",565.81703845366,670.875177788178,-0.493505809123486,0.0974454601015105,21.058232908376,30.3889957480493,0.0885606380717985,0.131938701161487,52,45,105.058139334517,0.590951269224996
"三重",719.2693783777,947.711079999214,0.219915597588917,0.836064069624601,37.9142579008018,76.7528007545842,0.146156763108934,0.237678234549037,37,25,228.441701621514,0.616148472035684
"上",539.496938782914,702.164656247313,-0.58460484638341,0.00581860660486186,21.8049483386167,25.7620637617251,0.0726276668589881,0.0910244286972675,49,64,162.6677174644,0.590423452988272
"上校",660.87078430676,718.69532560043,-0.0732466013498076,0.062587319160964,25.8041054897275,30.6737925639325,0.0910175504883386,0.116427195192657,51,43,57.8245412936693,0.135833920510772
"不值",608.341361701415,654.779342105621,-0.277505033340963,-0.0889530652262125,23.5235142085691,38.1786560317641,0.0877081836521152,0.135301677829856,47,38,46.4379804042055,0.188551968114751
"不公",706.009088881061,684.821065244112,0.117151587686364,0.0859868104958944,34.4374294217647,35.7381961757849,0.106422439542606,0.119733073751962,45,46,-21.1880236369491,-0.0311647771904693
"不可靠",554.556326090239,625.638179995504,-0.600525175035606,-0.157021429824871,29.4975077193191,24.5291364881817,0.0859122219352403,0.0892332565685235,46,50,71.0818539052651,0.443503745210735
"不同",681.085755565319,597.172761905251,-0.168055202393907,-0.379439967534171,42.0555808170446,24.3941090713537,0.119070641959155,0.0839829263533034,45,42,-83.9129936600687,-0.211384765140264
"不料",644.549439035525,745.36054285739,-0.232841540545536,0.19469182300993,37.8923375783643,24.6640446128,0.119180670598819,0.089035871410037,41,70,100.811103821865,0.427533363555466
"丑闻",663.225826086237,717.583222220738,-0.0957199199752977,0.189275275062848,18.6661739779748,27.2798884349899,0.0788807372495647,0.110763747392843,69,45,54.357396134501,0.284995195038145
"丑陋",538.620214292793,608.53528261917,-0.499326652764844,-0.333698040727664,16.572764040017,24.8785788398731,0.0538912497448271,0.0760391614878516,56,46,69.9150683263767,0.16562861203718
"专业",564.462173095306,507.30835397502,-0.570557632595584,-0.732240070356226,33.1309976705747,10.1197050029701,0.0755026226354249,0.041518956126146,52,113,-57.1538191202864,-0.161682437760643
"专家",570.742745098007,576.785062510847,-0.441504108278584,-0.480385998904494,19.9554973377732,30.8835874961329,0.0803586835767243,0.0832111317478033,51,48,6.04231741284002,-0.0388818906259096
"世界",510.469431029991,474.826920636344,-0.596036815778168,-0.821174737493215,21.1211604175144,11.7772258798172,0.0735823398741089,0.052063652675513,58,63,-35.6425103936468,-0.225137921715046
